代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率,
000001.SZ,平安银行,1991-04-03,N/A,0.5698,0.5698,0.5698,0.5698,100,5000,N/A,N/A,50,0.0004,1298500000,N/A,2376508379,26500000,0,48500171,33.531,10.0482,N/A,N/A,
000001.SZ,平安银行,1991-04-04,0.5698,0.567,0.567,0.567,0.567,300,15000,-0.0028,-0.4898,50,0.0011,1292140000,N/A,2364868337.96,26500000,0,48500171,33.3667,9.999,N/A,N/A,
000001.SZ,平安银行,1991-04-05,0.567,0.5642,0.5642,0.5642,0.5642,200,10000,-0.0028,-0.4922,50,0.0008,1285780000,N/A,2353228296.92,26500000,0,48500171,33.2025,9.9498,N/A,N/A,
000001.SZ,平安银行,1991-04-08,0.5642,0.5586,0.5586,0.5586,0.5586,200,10000,-0.0056,-0.9893,50,0.0008,1273060000,N/A,2329948214.84,26500000,0,48500171,32.874,9.8514,N/A,N/A,
000001.SZ,平安银行,1991-04-09,0.5586,0.5559,0.5559,0.5559,0.5559,400,19000,-0.0028,-0.4996,47.5,0.0015,1266700000,N/A,2318308173.8,26500000,0,48500171,32.7098,9.8022,N/A,N/A,
000001.SZ,平安银行,1991-04-10,0.5559,0.5531,0.5531,0.5531,0.5531,1500,71000,-0.0028,-0.5021,47.3333,0.0057,1260340000,N/A,2306668132.76,26500000,0,48500171,32.5456,9.7529,N/A,N/A,
000001.SZ,平安银行,1991-04-11,0.5531,0.5531,0.5531,0.5531,0.5531,N/A,N/A,0,0,N/A,N/A,1260340000,N/A,2306668132.76,26500000,0,48500171,32.5456,9.7529,N/A,N/A,
000001.SZ,平安银行,1991-04-12,0.5531,0.5475,0.5475,0.5475,0.5475,800,38000,-0.0056,-1.0093,47.5,0.003,1247620000,N/A,2283388050.68,26500000,0,48500171,32.2171,9.6545,N/A,N/A,
000001.SZ,平安银行,1991-04-16,0.5475,0.5393,0.5393,0.5393,0.5393,200,9000,-0.0081,-1.4868,45,0.0008,1229070000,N/A,2249437930.98,26500000,0,48500171,31.7381,9.511,N/A,N/A,
000001.SZ,平安银行,1991-04-17,0.5393,0.5367,0.5367,0.5367,0.5367,100,5000,-0.0027,-0.4959,50,0.0004,1222975000,N/A,2238282891.65,26500000,0,48500171,31.5807,9.4638,N/A,N/A,
